Text,Annotation-1,Annotation-2,Annotation-3,Majority-Frame
Lasing kinatay ang panganay,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Naningil sa paupa, magdyowa tinarakan ng tenant",15. Other,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Charles & Keith girl' Zoe Gabriel, nakipag-collab na rin sa isang airline",15. Other,15. Other,15. Other,15. Other
"Viral ngayon ang video ng isang elementary teacher sa isang pampublikong paaralan sa Placer, Masbate matapos niyang kalmahin at protektahan ang mga mag-aaral na nabigla at natakot sa sagupaan ng mga militar at rebeldeng grupo malapit sa kanilang paaralan.Ayon kay Ma'am Athena Suan ng Locso-an Elementary School, sa halip na mas mangunang matakot ay nagpakatatag siya at sinabihan ang mga mag-aaral na dumapa sa sahig ng silid-aralan, dahil nagkakaputukan na sa paligid.",15. Other,3. Morality,"7. Law and Order, Crime and Justice",False
Pasok ang Pinay writer na si Jennifer Fergesen sa mga nominado ng Journalism-Foodways Category sa prestihiyosong ‘James Beard Foundation Journalism Award’ ngayong taon.,15. Other,15. Other,15. Other,15. Other
LGUs inutusang magpasa ng ordinansa vs diskriminasyon sa frontliners,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,4. Fairness and Equality,6. Policy Prescription and Evaluation
"Kaagad na itinanggi ni Police Regional Office 2 (PRO2) acting director, Brig. Gen. Percival Rumbaoa na mga pulis ang umambus at pumatay kay Aparri, Cagayan Vice Mayor Rommel Alameda at sa lima pa niyang tauhan sa Bagabag, Nueva Vizcaya nitong Linggo ng umaga.Gayunman, tumangging isapubliko ni Rumbaoa ang pinagbatayan nito sa kanyang pahayag dahil patuloy pa rin umano ang isinasagawang imbestigasyon sa kaso.Nangako ang opisyal na mabibigyan ng hustisya ang pagkakapaslang sa mga biktima.",13. Political,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Nakahanda na ang Globe para tumulong sa mga residente ng mga lugar kung saan inaasahang mararamdaman ang hagupit ni #Dante.,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources,2. Capacity and Resources
27 katao sa MM kabilang sa PUIs na binabantayan sa nCoV–DOH,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"PHNOM PENH, Cambodia - Isusubasta ni pole vaulter star Ernest John Obiena ang kanyang sapatos na humakot na ng gintong medalya sa mga sinalihang kompetisyon upang matulungan ang mga batang pole vaulter sa Pilipinas na walang maayos na pinag-eensayuhan.",15. Other,15. Other,2. Capacity and Resources,15. Other
"Unbreak My Heart!' GMA, ABS-CBN, at Viu, sanib-puwersa sa isang collab project",15. Other,15. Other,15. Other,15. Other
"Kakayanin ng administrasyong Marcos mapababa ang inflation kung tanggalin lang nito ang value-added tax (VAT) at excise tax sa petrolyo, ayon sa IBON Foundation.",6. Policy Prescription and Evaluation,1. Economic,1. Economic,1. Economic
NPA inako pagtumba sa kagawad,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Binisita ni Pangulong Ferdinand Marcos, Jr. ang lamay ng pinatay na overseas Filipino worker (OFW) sa Kuwait na si Jullebee Ranara sa Las Piñas City nitong Lunes.",15. Other,15. Other,13. Political,15. Other
"Inihayag ng Philippine Ports Authority (PPA) na umaabot  sa  83% ang budget utilization rate (BUR) ang  kanilang nagamit noong 2022, pinakamataas sa mga nakaraang taon sa kabila ng mga hamon na dala ng pandemyang COVID.",2. Capacity and Resources,1. Economic,2. Capacity and Resources,2. Capacity and Resources
Tinakluban ng kadiliman ang anim na lugar sa Western Visayas matapos isara ng National Grid Corp. of the Philippines (NGCP) ang linya nito upang ma-protektahan ang kanilang sistema laban sa nasagap nitong ‘disturbance’.,2. Capacity and Resources,10. Quality of Life,10. Quality of Life,10. Quality of Life
IGINIIT ng asosasyon ng mga online gaming service providers para sa Philippine Offshore Gaming Operators na kahit isa sa mga manggagawang Tsino sa bansa ang tinamaan ng coronavirus disease 2019 (Covid-19).,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Nagpahayag ng kahandaan ang bansang Spain na palawigin ang ibinibigay nitong suporta at tulong sa Pilipinas, partikular sa Bangsamoro Autonomous Region in Muslim Mindanao (BARMM).",14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
"35 days na! Nawawalang Cessna plane sa Isabela, hinahanap pa rin",9. Health and Safety,9. Health and Safety,"7. Law and Order, Crime and Justice",9. Health and Safety
"Mayor Olivarez, nananawagang patuloy pa ring sumunod minimum public health protocols",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Renewal ng prangkisa ng Dito, ipinagpaliban ng Senado",6. Policy Prescription and Evaluation,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence,5. Constitutionality and Jurisprudence
"Todas ang isang dating pulis at isang drug suspect na kanyang kasabwat sa isinagawang buy-bust operation nitong Huwebes sa Naga City, Camarines Sur.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"28-anyos na architect-engineer, ginahasa, pinatay sa Davao City","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Think-tank, nag-react sa pagtaas ng inflation allowance sa senado: “Dapat lahat ng tao meron”",12. Public Opinion,6. Policy Prescription and Evaluation,4. Fairness and Equality,False
Politiko may sikretong walwalan sa resto,15. Other,13. Political,13. Political,13. Political
Romualdez bumigay sa Con-Ass ni Robin,13. Political,13. Political,13. Political,13. Political
KALABOSO ang anim katao na nag-inuman umano sa pampublikong lugar sa Quezon City kagabi.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"RR Enriquez, walang nakitang mali sa ginawa ni Alex Gonzaga: 'Kapag birthday mo you have the right na magpahid ng cake...'",15. Other,15. Other,15. Other,15. Other
Mas mabagsik na Omicron variant pasok sa `Pinas,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Hindi gagamitin sa isinusulong na Maharlika Investment Fund (MIF) ang pera ng Government Service Insurance System (GSIS).,6. Policy Prescription and Evaluation,1. Economic,2. Capacity and Resources,False
"Nasugatang Pinoy sa Sudan, ligtas na",9. Health and Safety,9. Health and Safety,"7. Law and Order, Crime and Justice",9. Health and Safety
Urban poor leader tigok sa tandem,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
PBBM sasampolan mga kriminal,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Dumulog sa Alfonso Police Station ang biktimang si Manuel Francisco, 63-anyos, ng Barangay Esperanza Ilaya, Alfonso, Cavite para ireklamo at padakip ang stay-in caretaker niya na si Virgilio De Lima.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
3 huli sa shabu,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
UMABOT na sa 301 opisyal ng barangay ang nahaharap sa reklamong kriminal kaugnay ng iba’t ibang anomalya sa pamamahagi ng unang tranche ng Social Amelioration Program.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Lacuna: Kita ng lungsod, lumalago; mas marami pang proyekto, asahan na",1. Economic,10. Quality of Life,10. Quality of Life,10. Quality of Life
"Barangay gardening, urban farming ng DILG, suportado ni Vargas",13. Political,13. Political,6. Policy Prescription and Evaluation,13. Political
Palasyo tiniyak na mananagot si Pimentel sakaling lumabag nga sa health protocols,9. Health and Safety,"7. Law and Order, Crime and Justice",13. Political,False
Suportado ang Commission on Elections (Comelec) sa maagang pagboto para sa mahinang sektor at pagboto sa internet para sa mga botohan sa ibang bansa.,10. Quality of Life,13. Political,13. Political,13. Political
"Pagso-sorry ni Alex Gonzaga, umani ng iba't ibang komento mula sa netizens",15. Other,15. Other,15. Other,15. Other
MAGLALAGAY umano ng mekanismo ang Kamara de Representantes sa panukalang Bayanihan II upang matiyak na hindi na mauulit ang mga pagkakamali sa pamimigay ng social amelioration program sa Bayanihan I.,6. Policy Prescription and Evaluation,2. Capacity and Resources,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
ARESTADO ang 27-anyos na lalaki na nagnakaw umano ng shoulder bag ng isang abugado sa bahay nito sa Quezon City kagabi.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Konsehal tinodas sa barangay hall,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Hot topic nina Ogie Diaz, Mama Loi, at Ate Mrena sa kanilang showbiz-oriented vlog na ""Ogie Diaz Showbiz Update"" ang umano'y napipinto nang pamamaalam sa ere ng noontime show na ""Tropang LOL"" o Lunch Out Loud"" produced by Brighlight Productions na umeere sa TV5, Kapamilya Channel, at A2Z.Iyan daw ay ayon sa reliable source ni Ogie. Tsika nito, ang last day of taping nila ay sa Marso 29, at ang last airing naman ay sa Abril 29, ""kung tama raw ang ibinalita"" sa kanila.At paano nabuking? Aksidenteng nakausap daw ng isa sa mga TV host ng Tropang LOL ang dating ""Magandang Buhay"" momshie host na si Karla Estrada, at ibinalita naman ng huli na magbabalik-telebisyon na siya, at ito ay sa TV5.Magbabalik na rin daw sa ere ang patok na ""Face to Face"" na dating hinost nina Tyang Amy Perez at Ateng Gelli De Belen sa TV 5. This time ay makakasama niya ang komedyanteng si Alex Calleja.",15. Other,15. Other,15. Other,15. Other
"PBBM: 6.4% GDP growth, senyales ng unti-unting pagtigay ng ekonomiya ng PH",1. Economic,1. Economic,1. Economic,1. Economic
Ipinagbabawal pa rin ang pangingisda sa Oriental Mindoro matapos maapektuhan ng oil spill.,10. Quality of Life,10. Quality of Life,10. Quality of Life,10. Quality of Life
2 bulagta sa drug-bust,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Dinakip ng Bureau of Customs (BOC) Port of Clark at Philippine Drug Enforcement Agency (PDEA) ang isang claimant ng isang package na may lamang ₱324,00 na halaga ng shabu na galing Estados Unidos sa ikinasang controlled delivery operation sa Masantol, Pampanga kamakailan.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Kelot binoga sa likod tigok,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Mindoro oil spill cleanup, matatapos na next month -- Malacañang",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Nilinaw ng gobyerno na kailangan nang magsuot ng face mask ang drayber at mga pasahero habang nasa loob ng pribadong sasakyan.,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Idineklara ang pinakamataas na Tropical Cyclone Wind Signal No. 5 sa mga lalawigan ng Albay at Camarines Sur sa Bicol Region habang nagbabala ang Philippine Atmospheric, Geophysical and Astronomical Services Administration  sa malaking delubyong idudulot ng Super Typhoon Rolly.",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Simula kahapon hanggang sa Martes, naka-red alert ang Philippine National Police (PNP) para masiguro na magiging mapapaya at maayos ang paggunita ng Undas ngayong taon.",8. Security and Defense,8. Security and Defense,8. Security and Defense,8. Security and Defense
Nagpaliwanag ang Philippine Ports Authority (PPA) sa Senado matapos itong ipatawag ni Senate Public Services Committee chairperson Senator Grace Poe ukol sa umano’y mataas na logistics costs sa mga pantalan na dekada ng problema ng mga truckers.,6. Policy Prescription and Evaluation,"7. Law and Order, Crime and Justice",1. Economic,False
"Naging kapana-panabik ang finale ng idol survival show ng ABS-CBN na “Dream Maker,” Linggo ng gabi, Pebrero 12, sa Caloocan Sports Complex, kung saan napili na ang pitong “dream chasers” na ilulunsad sa South Korea upang maging bahagi ng bagong global pop group.",15. Other,15. Other,15. Other,15. Other
"Isang grupo ng mga kabataan mula sa Ramon, Isabela ang hinangaan matapos makagawa ng isang obra gamit ang mga butil ng bigas.Sa panayam ng Balita Online, sinabi ng founder ng grupo na si Giovani Garinga, 30, na binuo niya ang grupong tinawag niyang Rice Art Nation upang magkaroon ng grupo na magtataguyod sa rice arts na tumutukoy sa sining gamit ang butil ng bigas, kung saan mayaman din ang probinsya ng Isabela.Ang nasabing grupo ay binubuo ng 20 mga estudyante at out of school youths na ang edad ay mula 12 hanggang 23 taong gulang.Unang ibinida ang nasabing uri ng sining sa nagdaang Bambanti Festival ng Isabela. Kuwento ni Garinga, habang ginagawa raw nila ito, nakita niya kung gaano kalaki ang dedikasyon ng kaniyang mga miyembro para makalikha ng obra na maipagmamalaki ng kanilang lugar.",15. Other,15. Other,11. Cultural Identity,15. Other
Apat na leon sa Barcelona Zoo ang nagpositibo sa coronavirus.,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Walong turista ang nailigtas ng mga tauhan ng Philippine Coast Guard (PCG) matapos ma-stranded sa Badoc Island sa Ilocos Norte nitong Martes, Pebrero 21.",9. Health and Safety,9. Health and Safety,"7. Law and Order, Crime and Justice",9. Health and Safety
DAPAT umanong mahiya sa kanilang mga sarili ang dumalo sa birthday party ni National Capital Region Police Office Chief Debold Sinas.,13. Political,13. Political,13. Political,13. Political
Dagdag allowance ng mga guro pinaaapura,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
"Lacuna: Mandatory use ng facemask sa city hall, sinimulan na",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
AABOT sa 700 swab test ang masusuri ng Eastern Visayas Regional Medical Center (EVRMC) Molecular Laboratory sa Tacloban City araw-araw kapag naging fully operational na ito.,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"OVP, tumulong sa mga pamilyang apektado ng oil spill sa Batangas",2. Capacity and Resources,10. Quality of Life,10. Quality of Life,10. Quality of Life
"Nakalatag na ang mga paghahanda ng National Capital Regional Police Office (NCRPO) para sa seguridad sa Metro Manila ngayong Kapaskuhan, partikular sa nalalapit na tradisyunal na Simbang Gabi.",8. Security and Defense,8. Security and Defense,8. Security and Defense,8. Security and Defense
"Babae, 3 lalaki huli sa shabu","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Inalmahan ni Joel Mondina alyas ""Pambansang Kolokoy"" ang isang balita tungkol sa kanila ng dating misis na si ""Marites"" kung saan nakasaad sa ulat na matagal na raw alam ng huli na may ka-affair na iba ang una.""It's not new to me anymore. She called and told me about the affair last year,"" sagot daw ni Marites sa panayam sa kaniya.Bagay na hindi naman pinalagpas ni PK at tinawag na ""one-sided"" ang news outlet na nagbalita nito.""…puro ka fake news kasi lagi kang one sided! Bat di mo din kunin side ng iba?! Anong 'affair?' Baka magulat ka pag sinabi kong nag-file na ng UNCONTESTED divorce 'yan beginning year of 2021. Do the math!"" aniya.",15. Other,15. Other,15. Other,15. Other
"Mindset ba, mindset!' Teknik ng Grade 4 pupil sa 'no erasure' policy sa exam, kinaaliwan",15. Other,15. Other,15. Other,15. Other
"With high honors yarn?' Grade 11 student, 'niyabang' sertipiko ng academic award kahit saan",15. Other,15. Other,15. Other,15. Other
Cha-cha lalarga sa Kamara,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,5. Constitutionality and Jurisprudence,6. Policy Prescription and Evaluation
MAS marami ang nagpapayo kay Coco Martin na huwag nang patulan ang patutsada sa kanya ni Solicitor General Jose Calida sa isyu ng pagpapasara sa ABS-CBN.,15. Other,15. Other,13. Political,15. Other
NAGLABAS ng paalala ang Land Transportation Franchising and Regulatory Board sa mga driver ng pampublikong sasakyan na kukuha ng tulong pinansyal mula sa gobyerno.,10. Quality of Life,10. Quality of Life,10. Quality of Life,10. Quality of Life
WALANG tumama sa P235 milyong jackpot prize ng Ultra Lotto 6/58 sa bola Martes ng gabi.,15. Other,15. Other,15. Other,15. Other
"Nadakip na ng mga otoridad ang isang Angkas rider na suspek sa pamamaril at pagpatay umano sa isang motorista sa Pasig City nitong Linggo matapos umano silang magtalo dahil lamang sa kanselasyon ng booking.Sa ulat na inilabas ng Pasig City Police nitong Miyerkules, kinilala lamang ang naarestong suspek na si alyas 'Roy,' na isang Angkas rider, at residente ng Brgy. Sauyo, Novaliches, Quezon City. Si Roy ang itinuturong suspek sa pamamaril at pagpatay sa biktimang si alyas 'Mark,' 37, at residente ng Brgy. San Antonio, Parañaque City.Lumilitaw na bago ang pag-aresto ay pinagbabaril ng isang rider ang biktima sa C6 Road kanto ng Kenneth Road, sa Brgy. Pinagbuhatan, Pasig City dakong alas-11:25 ng gabi ng Pebrero 5, 2023.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Niyanig ng magnitude 5.9 na lindol ang probinsya ng Davo de Oro nitong Martes ng hapon, Marso 7, ayon sa Philippine Institute of Volcanology and Seismology (Phivolcs).",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Kung hindi mo na rin keri ang sobrang init ng panahon, baka sign na ‘yan para mag-milk tea ka bes. Gaya na lamang ng TikToker na ito pero ang trip niya, daks na version!",15. Other,15. Other,15. Other,15. Other
Nanganganib na mabangkarote ang Philippine Health Insurance Corporation (Philhealth) kung magpapatuloy pa sa susunod na taon ang pananalasa ng pandemya.,2. Capacity and Resources,1. Economic,2. Capacity and Resources,2. Capacity and Resources
"May kabuuang 185 katao ang kumpirmadong nahawahan ng Covid-19 virus, sinabi ng Department of Health (DOH) nitong Linggo, Marso 19.",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
ISANG sunog ang sumiklab sa isang residential area sa Maynila kaninang umaga.,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Rendon Labador, dismayado sa grand opening ng resto: 'Fans ba lahat kayo ni Coco?'",15. Other,15. Other,15. Other,15. Other
LTO ilalabas papel na driver’s license,2. Capacity and Resources,2. Capacity and Resources,10. Quality of Life,2. Capacity and Resources
"Matatandaang noong October 31, 2022, malungkot na ibinalita ni Daryl na pumanaw na ang kaniyang butihing ina.Ayon pa kay Daryl, everytime raw siyang nagse-celebrate ng birthday iniispoiled daw niya ang kanyang ina, tinitreat niya ito. Sobrang thankful daw siya sa kanyang ina sa mga sakripisyo niya bilang Nanay.Kaya naman sa mismong araw ng birthday ni Daryl, ginawa pa rin niya ang usual na pagtreat sa kaniyang ina. Kagaya ng pagbili ng bouquet ng flowers sa isang flowers shop na pinakita niya habang nasa loob ng kotse. Maging ang paboritong pagkain ng kaniyang ina na beef mechado sa isang kilalang restoran sa La Loma ay kaniya ring binili. Iyon daw kasi ang isa sa mga pagkaing nirequest ng kaniyang ina bago ito pumanaw.“Ito yung isa sa pinakanami-miss ko na pakiramdam yung pabalik ka ng bahay uuwi ka ng bahay may dala kang flowers or may dala kang pagkain. Sobrang appreciative ng Nanay ko.”Pag-uwi ni Daryl, hinandog niya ang bulaklak na dala sa urn ng kaniyang ina.“Yan na ang aking mommy. Ma, may dala akong flowers para sayo. Happy birthday! Happy giving birthday sa akin, 36 years ago. Maraming maraming salamat sa lahat ng sakripisyo mo bilang Nanay. Sa lahat ng pagmamahal mo sa amin, pag-alaga mo sa amin. I love you Ma. Miss you. Para sa'yo itong flowers sana nakikita mo ito sa heaven. Sana namimiss mo rin kami. Miss na miss ka namin Ma. Miss na miss kita. I love you.""",15. Other,15. Other,15. Other,15. Other
Pinost ni Star Music Head Roxy Liquigan ang screenshot ng iTunes Philippines top song chart kung saan number one ang bagong kanta ni Maymay Entrata na ‘AUTODEADMA’.,15. Other,15. Other,15. Other,15. Other
"Ambulansya nabangin: 2 patay, 3 sugatan",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
PBBM bet sakupin NDRRMC,13. Political,13. Political,13. Political,13. Political
DINAKIP ang abogado makaraang magpumilit na dumaan sa fastlane na nakalaan lang sa mga frontliners kagabi sa Makati.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"UMAPELA ang isang partylist group sa gobyerno na unahin sa pagsasagawa ng mass testing ang Quezon City, ang lugar kung saan pinakamarami ang nahawa ng coronavirus disease 2019.",12. Public Opinion,9. Health and Safety,12. Public Opinion,12. Public Opinion
"Environmental group kinalampag DOTr, ibasura PMVIC",6. Policy Prescription and Evaluation,12. Public Opinion,12. Public Opinion,12. Public Opinion
Higit 100 estudyante bulagta sa fire drill,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"KAHIT Semana Santa ay nagkalat ang mga mapagsamantala, pero mabuti na lamang at palaging alisto ang mga pulis.","7. Law and Order, Crime and Justice",8. Security and Defense,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Harry Potter' Daniel Radcliffe, magiging daddy na!",15. Other,15. Other,15. Other,15. Other
"Sanggol tsugi, erpat kritikal sa atake ng buwaya",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Miyembro ng Abu Sayyaf naaresto sa Saluping Island, Basilan","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice",8. Security and Defense,"7. Law and Order, Crime and Justice"
"Ika-4 panalo, nasungkit ng Ginebra vs Blackwater Bossing",15. Other,15. Other,15. Other,15. Other
"2 pumatay sa kapitbahay, minulto kaya sumuko","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
School principal natagpuang patay sa motel,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Number coding scheme, kanselado sa Abril 5",10. Quality of Life,10. Quality of Life,10. Quality of Life,10. Quality of Life
"Humigit kumulang sa P5.7 milyong halaga ang ipinagkaloob ng Taiwan bilang tulong sa rehabilitasyon ng mga nasirang kultural at makasaysayang istruktura sa Vigan City, kasunod ng Hulyo 2022 na lindol na yumanig sa ilang bahagi ng Luzon.",14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
Suplay ng tubig galing sa Angat mananatiling normal,2. Capacity and Resources,2. Capacity and Resources,10. Quality of Life,2. Capacity and Resources
"Nagbanta ang abogado ni Negros Oriental 3rd District Rep. Arnolfo “Arnie” Teves Jr. nitong Huwebes, Mayo 11, na maghahain ng “legal action”, kabilang na ang pagsasampa ng kasong graft sa Office of the Ombudsman (OMB), sakaling kanselahin umano ang pasaporte ng kaniyang kliyente.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice",13. Political,"7. Law and Order, Crime and Justice"
PNP nalambat 283 sugarol sa e-sabong,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Mag-dyowa nirapido habang natutulog,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Bantag diniin sa torture ng 6 jail guard,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Niyanig ng magnitude 4.1 na lindol ang probinsya ng Batanes nitong Linggo ng tanghali, Marso 26, ayon sa Philippine Institute of Volcanology and Seismology (Phivolcs).",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Epekto ng COVID-19 naramdaman na, kita ng PPA bumaba",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"""Sana lang wala na namang tinamin, pero malamang may tinanim na naman ‘yan para magmukha akong masama. Sana lang wala.”",15. Other,"7. Law and Order, Crime and Justice",15. Other,15. Other
Pulis-Cebu patay sa COVID; pulis na nagkasakit 518 na,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Nawawalang babae, nilamon ng sawa",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Apela sa Malacanang: Taripa sa e-motorcycle suspendihin,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
"Ermat, sanggol na anak, 4 iba pa tigok sa California shooting","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
ISANG Danish national at 11 iba pa ang naaresto ng pulisya sa magkakahiwalay na operasyon sa Quezon City.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"3,148 kaso ng Covid-19, naitala sa bansa nitong nakaraang linggo",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Gamit sa pagmonitor ng Mayon ninakaw,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"DAR, namahagi ng lupa sa mga magsasaka sa bansa",2. Capacity and Resources,10. Quality of Life,10. Quality of Life,10. Quality of Life
Sa loob ng susunod na 24 oras ay makararanas ng pag-ulan sa ilang bahagi ng bansa bunsod ng 3 weather system na umiiral.,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Pasyente sa isang ospital, nagpatiwakal",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
"Sugatan ang isang mag-asawa matapos silang pagbabarilin ng riding-in-tandem habang nakaupo sa tindahan ang mga ito noong Huwebes sa Ramon Magsaysay, Zamboanga del Sur.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Walang tubig, sasakyan! Parañaque online ang klase",10. Quality of Life,10. Quality of Life,10. Quality of Life,10. Quality of Life
Pinay na transgender natagpuang patay sa New York hotel,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Vendor sumaklolo sa holdap, dinedo","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Ilegal na droga mas mabiis na maikakalat sa GCQ,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Presyo ng gasolina, diesel tataas sa susunod na linggo",1. Economic,1. Economic,1. Economic,1. Economic
Biofertilizer ipapagamit sa mga magsasaka,2. Capacity and Resources,10. Quality of Life,10. Quality of Life,10. Quality of Life
Dela Rosa: Sumabak sa ROTC kesa mag-TikTok lang kayo,13. Political,15. Other,13. Political,13. Political
